# Title: Crypto Firewall (Splunk),,,,,,,
# Updated: 2026-01-05T12:03:18Z,,,,,,,
# Expires: 1 days (update frequency),,,,,,,
# Homepage: https://github.com/chartingshow/crypto-firewall/,,,,,,,
# Contribute: https://github.com/chartingshow/crypto-firewall/issues,,,,,,,
# License: GPL-3.0 license,,,,,,,
# Source: https://github.com/chartingshow/crypto-firewall/blob/master/src/blacklists/splunk.csv, stamparm/ipsum, binarydefense, Proofpoint emergingthreats, greensnow, threatview, myip.ms, firehol
ip,message,updated,,,,,
104.223.98.2,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.225.234.132,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.234.36.60,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.234.37.139,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.238.61.8,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.244.79.94,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.247.162.67,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.247.82.172,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.248.144.119,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.248.18.107,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.248.225.227,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.248.30.5,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.251.214.46,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.254.90.235,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.254.90.251,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.26.10.122,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.26.8.188,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.28.157.195,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.28.160.182,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.40.48.31,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.86.182.43,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
105.198.236.101,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
105.198.236.99,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
105.27.205.34,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
106.104.162.35,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
106.15.137.41,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
106.250.150.98,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
106.54.198.64,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
106.75.251.38,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.155.127.246,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.155.55.111,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.155.55.118,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.161.23.204,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.165.140.84,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.2.123,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.68,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.72,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.74,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.75,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.79,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.84,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.86,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.90,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.92,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.167.27.94,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.170.39.149,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.172.100.226,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.172.242.4,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.172.34.243,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.172.73.137,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.172.87.130,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.173.166.107,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
